address,auxo,prv,prv_staker,arv_locked,total,share,reward_share
0x4632105acee0f4e11a1c5672da9c839dfd5857c9,1216,0,0,0,1216,3.90230449684919586163321012721144833112758E-21,0
0x58b22465b7041b5f98f81f4ab2597abb0b1efa39,755,0,0,0,755,2.42289465059304512790548819576039760690898E-21,0
0x30713d4634e5f6002a234f016323479f79a52503,169,0,0,0,169,5.42343305894337253796062920640406881546514E-22,0
0x71e759c4124b9a1df7611537e27d8552f72c4e9b,40,0,0,0,40,1.28365279501618284922145069974060800366039E-22,0
0xfb3cee83a0a97c8d7999ebd59496a4fde4f40033,1,0,0,0,1,3.20913198754045712305362674935152000915097E-24,0
0xe8c060f8052e07423f71d445277c61ac5138a2e5,1,0,0,0,1,3.20913198754045712305362674935152000915097E-24,0
0x8a45f5a1e94ddb71b1a316677c28683d111b49c8,1,0,0,0,1,3.20913198754045712305362674935152000915097E-24,0
0x1111111254eeb25477b68fb85ed929f73a960582,1,0,0,0,1,3.20913198754045712305362674935152000915097E-24,0
0x000000000005af2ddc1a93a03e9b7014064d3b8d,1,0,0,0,1,3.20913198754045712305362674935152000915097E-24,0
0xa7a5d807011628d0a1b8f7a44ee98e4943f392ee,0,4516737529564900000000,0,0,4516737529564900000000,0.0144948068854511817532732912471672805892353,1264237056549052072
0xdc6b5549763d893b01a41acf0d7d77ccb44f3417,0,2679497194098682441539,0,0,2679497194098682441539,0.00859886015610698280245090162285381483500969,749992582815651040
0xbe8fe12b9eb1ca2a593e6c070c71c294b6fe9f00,0,2102384728897452707061,0,0,2102384728897452707061,0.00674683008362138752718099217119079688770483,588458519893457420
0xcfcce00225c99fb2e533ebc3e732ee4ddd21c56b,0,2000000000000000000000,0,0,2000000000000000000000,0.00641826397508091424610725349870304001830195,559800983906557340
0xdc6ce98a9020905973c9c026c6f3e34df9998d8a,0,1013461966243072917873,1501877518018906080193,0,2515339484261978998066,0.00807205639846863303178323416477967168061613,704044759074434173
0x9fed225115a1374c7f0faef307d471c80fff1893,0,500000000000000000000,1753333994090733266675,0,2253333994090733266675,0.00723124619904887151409695931279892549836590,630709293481042573
0x7e3b9e461d1ccd4d0ec4cf09fc1de9d6d4e335ac,0,196349142023421978192,0,0,196349142023421978192,0.000630110312393487665826790234677293116362445,54958221446959994
0xa742a54e0b9cd1cac03c8f569ba4c606694261f9,0,120386834870727708494,0,0,120386834870727708494,0.000386337242662403221723072526445885246328168,33696334305014808
0x22be1f5e8544e71a390ced1b6a82b477b1127ce5,0,109073428800491213993,0,0,109073428800491213993,0.000350031029354372907668506370019628928238585,30529706380288405
0x2024f13b2fdb7957feb422af38edd5218e79ce05,0,50000000000000000000,5488276883229928680820,0,5538276883229928680820,0.0177730615018290291963330293779274513161878,1550166424189527926
0x3e541de9da4dcc73c7cfd225d4da6f232d758393,0,35389785624600151889,0,0,35389785624600151889,0.000113570493080103783236204368721586413684324,9905618406446651
